序	行	状态	四库字	四库卷	左锚	右锚
121	6448	NOVOL		90下	，邕至门试潜听之，憘：“	！以乐召我而有杀心，何也
122	6482	NOMATCH		91	栗，莫敢轻举。迄于永嘉[	]，察选清平，多得其人。
123	6504	NOMATCH		91	饮极欢，及酒阑倡罢，继以	露之歌，坐中闻者，皆为掩
124	6632	0.67	孽	93	孽造妖	，使樊丰之徒乘权放恣，侵
125	6698	NOMATCH		94	封土象山于路侧，以菩刍棘	为神主祭之，以车轹軷而去
126	6706	NOMATCH		94	文章，有名京师。 以师丧	官奔赴，五府并辟不就。
127	6719	0.75		94	教羿射者也。慎勿迷其本，	其生也。”
128	6724	NOMATCH		94	髃居，皆有口无行，弃家之	子，或朝之斥臣，必有羊胜
129	6728	NOMATCH		94	瞻护于弼。弼遂受诬，事当	市。劭与郡人卖郡邸，行赂
130	6740	NOMATCH		94	古学，颇知今之礼记冗多回	。臣前以周礼诸经，发起爉
131	6756	NOMATCH		94	七年，自虑奄忽，乃为遗令	兄子曰：“大丈夫生世，遯
132	6870	0.80	劉瓆	96	官，乘势犯法，二郡太守刘	、成□考案其罪，虽经赦令
133	6870	NOMATCH		96	势犯法，二郡太守刘□、成	考案其罪，虽经赦令，而并
134	6870	NOMATCH		96	宦官怨恚，有司承旨，遂奏	、□罪当□市。又山阳太守
135	6870	NOMATCH		96	怨恚，有司承旨，遂奏□、	罪当□市。又山阳太守翟超
136	6870	NOMATCH		96	有司承旨，遂奏□、□罪当	市。又山阳太守翟超，没入
137	6870	NOMATCH		96	司徒刘矩、司空刘茂共谏请	、□、超、浮等，帝不悦。
138	6870	NOMATCH		96	刘矩、司空刘茂共谏请□、	、超、浮等，帝不悦。有司
139	6870	NOMATCH		96	于鲁，小恶必书。宜𠡠自整	，后以及人。今寇贼在外，
140	6886	NOMATCH		96	风声，抗论惛俗。而驱驰崄	之中，与刑人腐夫同朝争衡
141	6930	NOMATCH		97	禁付宛狱，笞杀之。桓帝征	，下狱死。宗资字叔都，南
142	6933	NOMATCH		97	刘表、陈翔、孔昱、苑康、	□、翟超为“八及”。
143	6933	NOMATCH		97	陈翔、孔昱、苑康、□敷[	]、翟超为“八及”。及者
144	7018	0.80	傳檀	97	檀敷	字文有，山阳瑕丘人也。少
145	7063	NOMATCH		98	，荐达郡士范冉、韩伷、孔	等三人，因辞病自绝。会有
146	7087	NOMATCH		99	从，令冰与尹勋、侍御史祝	杂考□，辞连及曹节、王甫
147	7087	NOMATCH		99	冰与尹勋、侍御史祝□杂考	，辞连及曹节、王甫。勋、
148	7161	NOMATCH		100	而欲绳之以古刑，投弃以残	，非所谓与时消息者也。纣
149	7345	NOMATCH		102	外兄姜叙屯历城，阜少长诣	家，见叙母，说前在冀中时
150	7345	NOMATCH		102	等兵起，自将出袭历城，得	母。继母骂之曰：‘若背父
151	7409	NOMATCH		104上	豫州伷史孔	、兖州刺史刘岱、陈留太守
152	7459	NOMATCH		104上	父嵩，乞	携养，因臧买位，舆金辇宝
153	7467	NOMATCH		104上	伯珪，众实疲敝，而忲骄将	，军之破败，在此举矣。杨
154	7482	NOMATCH		104下	成，弃亲即雠之计已斾，旃	交于中原，暴尸累于城下。
155	7587	NOMATCH		105	之。布性不喜合鬬，鬬喜解	耳。”乃令军候植戟于营门
156	7609	0.80	勑	106	府，会飒被疾，不能𠡠起，	以桂阳太守归家，须后诏书
157	7665	NOMATCH		106	言。访曰：“若上须弃，是	民也。太守乐以一身救百姓
158	7831	0.80	廐	108	衣；池有弃酒，士有厩死；	马秣粟，民有饥色。近臣不
159	7832	NOMATCH		108	为戒，上畏不测之难剑下惧	客之害，臣知朝廷不复得闻
160	8024	NOMATCH		109下	征还，拜议郎。以寿终。 	，急疾之貌也。飞乃至天，
161	8154	NOMATCH		110下	婞直者见	，故倚门。脏音葬。
162	8188	NOMATCH		110下	人，官随任而处能。叙揆时	，庶绩咸熙。诸侯慕义，不
