唐代墓志汇编续集 PUA 悬置（2026-09-10）
套语定谳：E20F窀(437) E3AB楸(125) E3E3昊(44) E4C0/E4C1琅(132) E266阎(43)
其余 4192 处为志文俗字/泐字（无点校本可核），回退 □：

U+E3FD ×14  …诎慎笃以至公。弯弧之技，俯同爰臂，投盖之力，足举龙文。…
U+E2EA ×14  …，无传遣烈。其铭曰：⏎道气冥，玄宗机妙，在阴莫测，处…
U+E2BC ×14  …年，以孝廉举房州参军事。同费之始官，方董允之新任。摄曹…
U+E427 ×14  …其一。亦既有行，作嫔华族，结申戒，陈箴自勖。积善徒欺，…
U+E48F ×14  …每追游执友，弥好五（下泐）克□律。至若弦歌有舛，微睇瞩…
U+E311 ×14  …祖赠怀州长史希，父中书侍郎。时惟祖宗无违德，诞生夫人…
U+E223 ×13  …而家益俭，爵逾重而心不骄。祖，魏司空公威之弟，仆射季之…
U+E3C1 ×13  …长史徐府君墓志并序君讳纯，字业，东海人也。隆周敌封，因…
U+E4B3 ×13  …绋，悠悠旌旆，誉满禁中，威荒外。光阴遽促，人世随新，…
U+E3D0 ×13  …□朗。孝友慈惠，禀自天然；织组纟川，不劳师习。仍留意雕…
U+E0DD ×13  …热坂，威肃寒门。风车雾集，月云奔，扬尘亻敫外，呜笳塞垣…
U+E403 ×13  …，会陈硕真伪徒胃起，妖类至张，江东之地，多从寇壤，式…
U+E39D ×13  …也。曾祖亮，齐任□州刺史；祖，齐任□州别驾；父郎，隋任…
U+E3F6 ×13  …州咸阳县延陵乡故人建节尉赵孝墓志石一合若夫二仪言固，三…
U+E462 ×13  …，隈响溢。志堂延祸，孀闺集，云鸟初飞，剑龙俄逝，风摇…
U+E2AF ×13  …□幼□□□族□年之戚，移天苴，不幸沉婴固疾，以咸亨元年…
U+E44E ×12  …气。自兹已降，名器相循，锺鼎常，风流史管，武功文德，标…
U+E1A8 ×12  …月不居，春秋递代，幽扃一闭，焉千载。陇雾朝凝，松烟晚晦…
U+E429 ×12  …祖辨，齐兖州刺史。清忠迈於李，莅政光於叔度，爱逾夏门，…
U+E409 ×12  …舞之乐，常在闻见之中；肥Ο甘毳之馔，不离左右之侧。颜色…
U+E3F0 ×12  …⏎高阳启命，徐方得姓，利达，登台贻庆。舄弈多祉，蝉…
U+E16E ×12  …清虚，早吟忠□，孝凝樊孟，友胜云，神□□□松，耿冬晖之…
U+E3FF ×11  …竞驰。麟斗中原，龙飞四海。先且豹，执锐挥戈，风驱楚卒，…
U+E41F ×11  …娩腾声。亦既有归，实佐君子，纟延是务，边豆斯理，体有端…
U+E37A ×11  …然风烛，万古埃尘。蔼蔼荒郊，重露，愁云ウ胧，悲风吟树…
U+E40D ×11  …初莲委夏。其四。季直空怨，奉徒■，凰楼灭影，被留香。…
U+E497 ×11  …茔，礼也。缟驷扬镳，望佳城而步；画车齐轸，出广陌以迟徊…
U+E485 ×11  …曰：⏎表海称功，列棘成象，其秀，绵绵不爽。西汉飞英…
U+E45E ×11  …之致，岂儿妇人之流与！而固存挹。耻於眩曜，与朋类常谈，…
U+E3F3 ×11  …独彰，猎蕙离蘅，贞芬自远，□遂古，苑囿几神，夙践孝慈，…
U+E24A ×11  …夜终安。山深树古，陇暗泉寒，名永劭，贞石斯刊。⏎（西…
U+E44D ×11  …游，姬刘卜食，圣朝銮驾，肃事宗，林所□，允膺斯任。至…
U+E3D5 ×11  …露冕，历沅湘兮。紫绶彤轩，赫煌兮。恩波德泽，沐揄扬兮。…
U+E2B0 ×10  …在民。君洪澜毓德，乔岳韬灵，籍仁义之方，优游谦恭之辙。…
U+E470 ×10  …，仍放还蕃。始毕可汗用公为伽特勒。始毕没，颉利可汗立，…
U+E13C ×10  …第，春秋五十有七。呜呼哀哉！遗之哀，已闻於霄极；不知之…
U+E42A ×10  …人。琴停白雪，书阁委尘，黯金於陇路，庶遗行而可珍。⏎…
U+E44C ×10  …事相趋，父游若市。方欲投纶渭，应兆匡周，不谓梦奠两楹，…
U+E400 ×10  …廿三年，又从幸翠微宫。夙奉金勺，恒参玉太。委质滋永，…
U+E417 ×10  …安，六神备，泉扃磅礴而豁地，陇嵬峨而隐天。遂以开元六年…
U+E443 ×9  …田之生璧，丹穴之育雏。岩与嵩岱齐峰，洋洋共江河并注…
U+E224 ×9  …调国子学生，频迁兼著作。君研该练，酬校精敏，蠹简咸理，…
U+E490 ×9  …陵萧琮妻蔡氏之记，痤於河南县水乡芒山之阳。⏎（录自《…
U+E484 ×9  …杰之姿，早厉风霜之节。⏎两双戟，参妙穷神；八阵九攻，…
U+E43E ×9  …遐镜，声明缅烛。乃祖重光，褰累躅，显考垂衮，闻韶继曲。…
U+E472 ×9  …礼也。□□□□□□□□□□心飙风□断□恐千年白日，陵谷…
U+E458 ×9  …重锡宠章，更崇徽号。出国备□之数，来朝节环之音。弘慈…
U+E7B7 ×9  …子县录事；莅冲要之职，居绳纟之官，扇百里之淳风，替七政…
U+E29E ×9  …伏法，以公尝词翰往复，放於越之邛都。耽味易象，以诗酒为…
U+E13A ×8  …王府故司马徐君墓志铭并序君讳，字师，兖州高平人，帝颛…
U+E3DA ×8  …峻趾，簪组蝉联。绵迹遥源，貂奕叶，可谓令誉令望，传乎不…
