新唐书 PUA 悬置（2026-09-10）：561 处（82 码位）。无库内平行本，回退 □ 待点校本核补。

U+E0D4 ×1  …郯国公公谨，左领嵕唵蠼鵩⒙鎷冢癫可惺椤⒂佬丝す…
U+E093 ×1  …公公谨，左领嵕唵蠼鵩⒙鎷冢癫可惺椤⒂佬丝す滥…
U+E01C ×1  …公谨，左领嵕唵蠼鵩⒙鎷冢癫可惺椤⒂佬丝す滥希…
U+E0DB ×1  …，左领嵕唵蠼鵩⒙鎷冢癫可惺椤⒂佬丝す滥希Р…
U+E087 ×1  …鎷冢癫可惺椤⒂佬丝す滥希Р可惺椤⒂骞幔…
U+E092 ×1  …佬丝す滥希Р可惺椤⒂骞幔Р可惺椤④旃螅…
U+E079 ×1  …⒂骞幔Р可惺椤④旃螅可惺椤⒂⒐珓蓿⑹…
U+E245 ×1  …幔Р可惺椤④旃螅可惺椤⒂⒐珓蓿⑹灞Γ…
U+E2B5 ×1  …灞Γ⑼夹瘟柩谈蟆８咦谟阑樟辏彩怪录烂纪夹瘟柩谈笳…
U+E0E2 ×1  …⑼夹瘟柩谈蟆８咦谟阑樟辏彩怪录烂纪夹瘟柩谈笳叻财…
U+E360 ×1  …谈蟆８咦谟阑樟辏彩怪录烂纪夹瘟柩谈笳叻财呷耍纭⑹…
U+E0FC ×1  …怪录烂纪夹瘟柩谈笳叻财呷耍纭⑹苛r、志玄、弘基、…
U+E178 ×1  …纪夹瘟柩谈笳叻财呷耍纭⑹苛r、志玄、弘基、世南、叔…
U+E767 ×1  …夹瘟柩谈笳叻财呷耍纭⑹苛r、志玄、弘基、世南、叔宝…
U+E836 ×1  …龙中，王还长安，二人常负房{服}以从。王数引万骑帅长及…
U+E4B9 ×1  …是下诏暴训、涯等罪。孝本易绿夸，犹金带，以帽障面，奔郑…
U+E47D ×1  …斋别室，筑坛置银盘、金匜、玉，猥曰：“内产甘露液神酒。…
U+E4A3 ×1  …帐，百倡鼓吹于前，属兵列护门。属州为土马献祠下，列牲牢…
