清史稿 PUA 悬置（2026-09-10）：3299 处（236 码位）。无库内平行本，据「不猜不改」回退 □，待点校本核补。

U+E40E ×4  …居同则情可共见。即各司咨事画，亦有定所。近日惟阿桂每日…
U+E6F4 ×4  …兄七，与其邻争地而讼，知县吴元纳邻赇，逮七，下典史费长…
U+E71E ×4  …寻诏徵，不就，往来靖安间。披为僧，复蓄发游江南。顺治中…
U+E4D2 ×4  …李⏎　　贾国林妻韩  孙云妻白  图斡恰纳妻王依氏 …
U+E7AF ×3  …⏎　　冬十月庚辰朔，川军克龙场，匪首李永和等伏诛，赏提…
U+E7B2 ×3  …荃为陕甘总督。戊戌，日本使臣户玑来议琉球条款，不协，敕…
U+E7B3 ×3  …，以桂芳为科布多办事大臣。溥免，以萨廕图为科布多参赞大…
U+E736 ×3  …之，东流入清平。白水河一曰嶰河，源出州西北，南流迳牛场…
U+E230 ×3  …谕建风神庙。礼臣言：“周礼燎祀飌师，郑康成注风师为箕…
U+E82D ×3  …骑腾骧，辉煌从龙应列象。纷冪，环卫句陈隔御光。纷冪，…
U+E847 ×3  …左营艍船二艘，膨仔船二艘，乌船一艘，快桨船三艘；右营趕…
U+E84F ×3  …三十二卷，嵩岳庙史十卷。景日撰。南岳志八卷。高自位撰。…
U+E541 ×3  …仍称永历年号。以永华辅长子克居守，与诸将冯锡范等督诸军…
U+E4BA ×3  …，赐孙廕桓举人，遣贝勒载瀅奠叕，饰终之典，视在位无所减…
U+E4EC ×3  …口两关商人在其国之高凭镇牧马立市，由隘商人在谅山镇之驱…
U+E7BC ×2  …门亦贿赂之府也，宜相防检。挟劾人，例当加罪。馀所言是，…
U+E572 ×2  …，开闽省洋禁。丙午，鄂罗斯察汗遣使臣萨瓦表贺登极，进贡…
U+E76F ×2  …通政司参议刘锡鸿以诬劾李鸿章职。⏎　　三月甲子，除锦…
U+E7C7 ×2  …风气河，入额穆。东大沙、西北河并从之。旧设站二：自额…
U+E7DE ×2  …。西北：摩天岭、三门。有磨盘，南洺河出，屈东北，迳粟山…
U+E1BA ×2  …大溪西自泰顺入，合桂溪，迳{山}口村，右合洄溪。又东合…
U+E7EA ×2  …昌入，东北行，迳县西，抵八字，入鄱阳湖。西有军山湖、日…
U+E7EB ×2  …，东迳白石矶入湖口。西南：黄河、潘溪入德安。东：女兒港…
U+E7EF ×2  …。南：鸡栖。东：三华。西：龙。东南：玉城山。长桥河上流…
U+E4BF ×2  …星星峡、头堡、三堡、三道岭、墩、橙槽沟、一碗泉。新城…
U+E725 ×2  …鸾旗拂柳轻。五色云霞采仗迎，闱喜气盈，椒殿晓风清。调玉…
U+E81B ×2  …尺长，五菽五豆充垅场。穄粢縻九色粮，蜀秫玉黍兼东廧。乌…
U+E825 ×2  …之能善，惟和斯恆。⏎　　木珠鷇之成雏兮，孚化之功。羽…
U+E827 ×2  …解闼门潭，万顷回湍，鼓天风，滟文澜。源深兮流广，三江兮…
U+E82F ×2  …鼓吹。⏎　　金口角，旧名琐，木管，两端金口，上弇下哆…
U+E5FA ×2  …等小学之事。外国蒙养院，一名稚园，参酌其意，订为蒙养院…
U+E4A6 ×2  …以兵后册籍荡然，粮产无从钩钅。漕督陈夔龙陈大要三端：一…
U+E83D ×2  …；一，津、通经费，照案备带，羡等款，仍按数抵解；一，商…
U+E84C ×2  …郝懿行撰。春秋目论二卷。邓显撰。三传异同考一卷。陈莱孝…
U+E62F ×2  …十二卷，遗诗五卷。方东树撰。斋居士文集八卷。张穆撰。传…
U+E767 ×2  …。”下?年十二月，朝鲜国王李上言：“建州都督郎卜兒哈，…
U+E4D4 ×2  …与牛录额真觉善等勒兵出战，奋逾堑，直趣敌阵。春等稍卻，…
U+E545 ×2  …总兵梁化凤赴援。会梅勒额真噶哈、玛尔赛自贵州旋师，循江…
U+E612 ×2  …阻挠下河，辅亦劾在丰与天颜结姻，附和成龙。下廷臣议，辅…
U+E482 ×2  …狐端罩。旋克大小天星寨。进攻木营，乘风雪夜进，拔地良、…
U+E0E6 ×2  …党剽掠，处处有V酳；齁咝星浚湫∏远滪橥蟮粒环址拭攴ǎ…
U+E0D1 ×2  …涫坷嘁喔首魑鸭摇＝偃ヂ砼＃劾帐辏髂空诺ǎ敛晃饭…
U+E0EE ×2  …鬯绞晡恪Ｖ菹丶攘哐吨剩植唤擦凡吨ǎ患任藁竦林…
U+E0EA ×2  …怨舜Ψ郑蓟涫危笪。趟幻狻＜┎吨兹绱恕Ｇ…
U+E198 ×2  …。趟幻狻＜┎吨兹绱恕Ｇ覆磺澹蚩骺漳讯乓病６≈…
