魏书 PUA 悬置（2026-09-10）：293 处（102 码位）。无库内平行本，回退 □ 待点校本核补。

U+E266 ×1  …ǘ现兀狭鯊惫酥猓廾衲贤摹Ｏ乃涫ⅲ藿…
U+E383 ×1  …兀狭鯊惫酥猓廾衲贤摹Ｏ乃涫ⅲ藿蛲究梢颍…
U+E1A2 ×1  …惫酥猓廾衲贤摹Ｏ乃涫ⅲ藿蛲究梢颍欢匪渫ǎ…
U+E0CC ×1  …堇陀酪荨＝袼湎蛉龋炭尚惺Γ猩袼伲迷蛏洹Ｈ籼煊昙…
U+E25C ×1  …陀酪荨＝袼湎蛉龋炭尚惺Γ猩袼伲迷蛏洹Ｈ籼煊昙冉…
U+E300 ×1  …龋炭尚惺Γ猩袼伲迷蛏洹Ｈ籼煊昙冉担蛞蛩ǎ…
U+E0D6 ×1  …猩袼伲迷蛏洹Ｈ籼煊昙冉担蛞蛩ǎ肆敢嬷冢嫖…
U+E1A4 ×1  …迷蛏洹Ｈ籼煊昙冉担蛞蛩ǎ肆敢嬷冢嫖　？纸…
U+E0D4 ×1  …煊昙冉担蛞蛩ǎ肆敢嬷冢嫖　？纸疵袷桓…
U+E01C ×1  …冉担蛞蛩ǎ肆敢嬷冢嫖　？纸疵袷桓耐迹…
U+E25B ×1  …担蛞蛩ǎ肆敢嬷冢嫖　？纸疵袷桓耐迹…
U+E3C6 ×1  …ǎ肆敢嬷冢嫖　？纸疵袷桓耐迹嗉蕉荩…
U+E0D2 ×1  …敢嬷冢嫖　？纸疵袷桓耐迹嗉蕉荩湮纯砂…
U+E141 ×1  …嬷冢嫖　？纸疵袷桓耐迹嗉蕉荩湮纯砂巍…
U+E49D ×1  …？纸疵袷桓耐迹嗉蕉荩湮纯砂巍３奸肓抛艄惨…
U+E0F2 ×1  …疵袷桓耐迹嗉蕉荩湮纯砂巍３奸肓抛艄惨椋…
U+E3DE ×1  …耐迹嗉蕉荩湮纯砂巍３奸肓抛艄惨椋涛娇扇弧Ｈ粢…
U+E245 ×1  …肓抛艄惨椋涛娇扇弧Ｈ粢怀拢逵兴鸢苤穑怀露扪…
U+E1AB ×1  …娇扇弧Ｈ粢怀拢逵兴鸢苤穑怀露扪椋殖晌茇柚铩…
U+E261 ×1  …粢怀拢逵兴鸢苤穑怀露扪椋殖晌茇柚铩Ｎ┨旒…
U+E0DA ×1  …怀拢逵兴鸢苤穑怀露扪椋殖晌茇柚铩Ｎ┨旒浚…
