北齐书 PUA 悬置（2026-09-10）：266 处（151 码位）。无库内平行本，回退 □ 待点校本核补。

U+E862 ×44  …后难测，遂与高乾兄弟及黄门崔同心固请于高祖，言废帝本是…
U+E0FE ×1  …俺裰型Ｉ沌乱宰嘌裕没粕⒂诠侔蔽⑵锸汤桑…
U+E294 ×1  …Ｉ沌乱宰嘌裕没粕⒂诠侔蔽⑵锸汤桑嗌崛耸乱病…
U+E028 ×1  …乱宰嘌裕没粕⒂诠侔蔽⑵锸汤桑嗌崛耸乱病；蛐Ｊ…
U+E1FC ×1  …⑵锸汤桑嗌崛耸乱病；蛐Ｊ模跛就奖硭兔馗缶墒掳…
U+E49D ×1  …⑵锸汤桑嗌崛耸乱病；蛐Ｊ模跛就奖硭兔馗缶墒掳送…
U+E0DF ×1  …模跛就奖硭兔馗缶墒掳送蚓恚粟刃＃糠治⒏庇…
U+E1E6 ×1  …跛就奖硭兔馗缶墒掳送蚓恚粟刃＃糠治⒏庇⒅卦…
U+E0CD ×1  …硭兔馗缶墒掳送蚓恚粟刃＃糠治⒏庇⒅卦尤尽…
U+E034 ×1  …缶墒掳送蚓恚粟刃＃糠治⒏庇⒅卦尤尽Ｗ竺裆…
U+E43C ×1  …墒掳送蚓恚粟刃＃糠治⒏庇⒅卦尤尽Ｗ竺裆惺…
U+E41A ×1  …刃＃糠治⒏庇⒅卦尤尽Ｗ竺裆惺橹芎胝⒒泼爬膳…
U+E12B ×1  …砩省⒅笔⊙客醌暋⒋髁晷＞浚笃蜕渫醢⒗舨可惺樽诨…
U+E2BB ×1  …跞视⑿Ｊ凡浚⑽厩湟蟛缓Α⒂分胸┩跣⒓汀⒅惺槔傻溯！⒔…
U+E07B ×1  …！⒔鸩坷芍行毂ㄐＷ硬浚摇踅仔拧⒅惺槔赏豕獭⒔餐跷…
U+E3ED ×1  …⒔鸩坷芍行毂ㄐＷ硬浚摇踅仔拧⒅惺槔赏豕獭⒔餐跷难…
U+E2FF ×1  …摇踅仔拧⒅惺槔赏豕獭⒔餐跷难ё谏埔怠⒅笔⊙恐苋…
U+E1E7 ×1  …跷难ё谏埔怠⒅笔⊙恐苋沸＜恳病Ｊ辈伟亓褐９水K瓯…
U+E18A ×1  …⊙恐苋沸＜恳病Ｊ辈伟亓褐９水K瓯之不算，濯波涛而…
U+E000 ×1  …恐苋沸＜恳病Ｊ辈伟亓褐９水K瓯之不算，濯波涛而无…
U+E317 ×1  …使骆提婆母陆?⏎衔趾撕魏檎涞任笥遥蠼栽ふ…
U+E036 ×1  …?⏎衔趾撕魏檎涞任笥遥蠼栽ふ夜伞Ｏ舅…
U+E489 ×1  …趾撕魏檎涞任笥遥蠼栽ふ夜伞Ｏ舅恐贾剩枳劣…
U+E320 ×1  …撕魏檎涞任笥遥蠼栽ふ夜伞Ｏ舅恐贾剩枳劣裰…
U+E198 ×1  …笥遥蠼栽ふ夜伞Ｏ舅恐贾剩枳劣裰澎恚靡奈岫…
U+E0D1 ×1  …蠼栽ふ夜伞Ｏ舅恐贾剩枳劣裰澎恚靡奈岫握椋…
U+E269 ×1  …贾剩枳劣裰澎恚靡奈岫握椋堑已蓝移稹Ｗ嫘⒄饔…
U+E105 ×1  …枳劣裰澎恚靡奈岫握椋堑已蓝移稹Ｗ嫘⒄饔檬拢…
U+E255 ×1  …澎恚靡奈岫握椋堑已蓝移稹Ｗ嫘⒄饔檬拢虺棒馊…
U+E207 ×1  …堑已蓝移稹Ｗ嫘⒄饔檬拢虺棒馊唬逃懈偌鸵印Ｂ嫣崞…
U+E497 ×1  …稹Ｗ嫘⒄饔檬拢虺棒馊唬逃懈偌鸵印Ｂ嫣崞诺瓤嘈⒄饕…
U+E483 ×1  …懈偌鸵印Ｂ嫣崞诺瓤嘈⒄饕苑ㄉ海诙鲋Ｓ谑墙塘罨杵В…
U+E0F5 ×1  …鸵印Ｂ嫣崞诺瓤嘈⒄饕苑ㄉ海诙鲋Ｓ谑墙塘罨杵В劣…
U+E246 ×1  …Ｂ嫣崞诺瓤嘈⒄饕苑ㄉ海诙鲋Ｓ谑墙塘罨杵В劣诿鹜…
U+E178 ×1  …崞诺瓤嘈⒄饕苑ㄉ海诙鲋Ｓ谑墙塘罨杵В劣诿鹜觥３…
U+E0F1 ×1  …海诙鲋Ｓ谑墙塘罨杵В劣诿鹜觥３系』挠诙日锴…
U+E46A ×1  …罨杵В劣诿鹜觥３系』挠诙日锴袼伲仄窖糁糜…
U+E41C ×1  …劣诿鹜觥３系』挠诙日锴袼伲仄窖糁糜悖翁…
U+E1A0 ×1  …诿鹜觥３系』挠诙日锴袼伲仄窖糁糜悖翁…
U+E0CF ×1  …锴袼伲仄窖糁糜悖翁浦瘛＝菪∈Ю…
U+E091 ×1  …袼伲仄窖糁糜悖翁浦瘛＝菪∈Ю闫…
U+E14F ×1  …袼伲仄窖糁糜悖翁浦瘛＝菪∈Ю闫…
U+E19D ×1  …袼伲仄窖糁糜悖翁浦瘛＝菪∈Ю闫共…
U+E325 ×1  …仄窖糁糜悖翁浦瘛＝菪∈Ю闫共ⅲ植皇…
U+E0CC ×1  …悖翁浦瘛＝菪∈Ю闫共ⅲ植皇夭⒅荩雷…
U+E30D ×1  …翁浦瘛＝菪∈Ю闫共ⅲ植皇夭⒅荩雷呦蜈…
U+E3C6 ×1  …浦瘛＝菪∈Ю闫共ⅲ植皇夭⒅荩雷呦蜈…
U+E117 ×1  …Ю闫共ⅲ植皇夭⒅荩雷呦蜈佄锤挠谙彝臁…
U+E468 ×1  …共ⅲ植皇夭⒅荩雷呦蜈佄锤挠谙彝臁酢酢酢酢…
U+E5D1 ×1  …共ⅲ植皇夭⒅荩雷呦蜈佄锤挠谙彝臁酢酢酢酢酰…
U+E0D7 ×1  …佄锤挠谙彝臁酢酢酢酢酰岸肌醵担撤啬怪俑病…
U+E25C ×1  …谙彝臁酢酢酢酢酰岸肌醵担撤啬怪俑病Ｃ允吨鞫…
U+E426 ×1  …彝臁酢酢酢酢酰岸肌醵担撤啬怪俑病Ｃ允吨鞫…
U+E0D6 ×1  …臁酢酢酢酢酰岸肌醵担撤啬怪俑病Ｃ允吨鞫慈耍…
U+E199 ×1  …酢酢酰岸肌醵担撤啬怪俑病Ｃ允吨鞫慈耍阂哑芏…
U+E26A ×1  …担撤啬怪俑病Ｃ允吨鞫慈耍阂哑芏衲荆矸灼…
U+E267 ×1  …俑病Ｃ允吨鞫慈耍阂哑芏衲荆矸灼涞吲妫Ч偕⒂…
U+E0DC ×1  …Ｃ允吨鞫慈耍阂哑芏衲荆矸灼涞吲妫Ч偕⒂谥穑…
U+E2B3 ×1  …允吨鞫慈耍阂哑芏衲荆矸灼涞吲妫Ч偕⒂谥穑藓…
U+E0E9 ×1  …荆矸灼涞吲妫Ч偕⒂谥穑藓弦粤萍ⅲ仪镉┒账蓿…
U+E190 ×1  …矸灼涞吲妫Ч偕⒂谥穑藓弦粤萍ⅲ仪镉┒账蓿痹…
U+E0DE ×1  …妫Ч偕⒂谥穑藓弦粤萍ⅲ仪镉┒账蓿痹诩径饰…
U+E268 ×1  …⒂谥穑藓弦粤萍ⅲ仪镉┒账蓿痹诩径饰薮宋铩ｖ…
U+E0BE ×1  …粤萍ⅲ仪镉┒账蓿痹诩径饰薮宋铩ｖ诺衅鹩谥壑校…
U+E2F0 ×1  …饰薮宋铩ｖ诺衅鹩谥壑校⒃缴陂薄Ｗ嘲驳轮徽剑…
U+E322 ×1  …薮宋铩ｖ诺衅鹩谥壑校⒃缴陂薄Ｗ嘲驳轮徽剑奈…
U+E455 ×1  …铩ｖ诺衅鹩谥壑校⒃缴陂薄Ｗ嘲驳轮徽剑奈渲…
U+E37B ×1  …⒃缴陂薄Ｗ嘲驳轮徽剑奈渲喔＃墙迤淙缑В…
U+E0DB ×1  …嘲驳轮徽剑奈渲喔＃墙迤淙缑В埔猿晒龋…
U+E02F ×1  …奈渲喔＃墙迤淙缑В埔猿晒龋笾鼽篮螅驳峦…
U+E482 ×1  …奈渲喔＃墙迤淙缑В埔猿晒龋笾鼽篮螅驳峦跹…
U+E0CB ×1  …缑В埔猿晒龋笾鼽篮螅驳峦跹幼谑蘸嫌嘟诓⒅菀…
U+E0E4 ×1  …峦跹幼谑蘸嫌嘟诓⒅菀拐剑笔恕Ｖ苤饔耍虢…
U+E430 ×1  …幼谑蘸嫌嘟诓⒅菀拐剑笔恕Ｖ苤饔耍虢抵苷…
U+E37A ×1  …诓⒅菀拐剑笔恕Ｖ苤饔耍虢抵苷吒嬉孕槭担…
U+E0E1 ×1  …⒅菀拐剑笔恕Ｖ苤饔耍虢抵苷吒嬉孕槭担柿糁…
U+E093 ×1  …拐剑笔恕Ｖ苤饔耍虢抵苷吒嬉孕槭担柿糁撩鞫…
U+E243 ×1  …抵苷吒嬉孕槭担柿糁撩鞫驳掳芤病Ｌ烀莶豢稍倮矗…
U+E3E2 ×1  …槭担柿糁撩鞫驳掳芤病Ｌ烀莶豢稍倮矗滔退烂矶蕖…
U+E275 ×1  …病Ｌ烀莶豢稍倮矗滔退烂矶蕖Ｄ粟嘁缘淇ぃ菀范…
U+E30E ×1  …Ｌ烀莶豢稍倮矗滔退烂矶蕖Ｄ粟嘁缘淇ぃ菀范…
U+E208 ×1  …豢稍倮矗滔退烂矶蕖Ｄ粟嘁缘淇ぃ菀范式颍…
U+E021 ×1  …烂矶蕖Ｄ粟嘁缘淇ぃ菀范式颍莆皆ぃ…
U+E261 ×1  …蕖Ｄ粟嘁缘淇ぃ菀范式颍莆皆ぃ莺咏…
U+E0CE ×1  …Ｄ粟嘁缘淇ぃ菀范式颍莆皆ぃ莺咏颍晕…
U+E025 ×1  …缘淇ぃ菀范式颍莆皆ぃ莺咏颍晕莱轮…
U+E138 ×1  …ぃ菀范式颍莆皆ぃ莺咏颍晕莱轮啤Ｋ…
U+E05B ×1  …莆皆ぃ莺咏颍晕莱轮啤Ｋ购艉蕉盟枷…
U+E193 ×1  …莆皆ぃ莺咏颍晕莱轮啤Ｋ购艉蕉盟枷绲加谏…
U+E24F ×1  …莺咏颍晕莱轮啤Ｋ购艉蕉盟枷绲加谏屏冢琜三七]…
U+E0D8 ×1  …晕莱轮啤Ｋ购艉蕉盟枷绲加谏屏冢琜三七]约以邺…
U+E41F ×1  …中。⏎⏎　　毕义云，小字儿。少粗侠，家在兖州北境，…
